감,감ː
은퇴,은퇴
음질,음질
음치,음치
음향,음향
응급,응ː급
의과,의꽈
의료,의료
의술,의술
의원,의원
의학,의학
의혹,의혹
의회,의회
이득,이ː득
이력,이ː력
이상,이ː상
이슬,이슬
이식,이식
이윤,이ː윤
이의,이ː의
이주,이주
이직,이직
이행,이ː행
인권,인꿘
인근,인근
인종,인종
인출,인출
인파,인파
일감,일ː깜
일과,일과
일주,일쭈
일탈,일탈
일터,일ː터
일화,일화
임기,임ː기
임대,임ː대
임업,이멉
임종,임종
자가,자가
자각,자각
자갈,자갈
자국,자국
자금,자금
자립,자립
자모,자모
자백,자백
자산,자산
자선,자선
자손,자손
자수,자수
자아,자아
자율,자율
자음,자음
자재,자재
자질,자질
자취,자취
자치,자치
자태,자태
잔고,잔고
잡화,자퐈
장군,장군
장기,장기
장치,장치
재무,재무
재배,재ː배
재벌,재벌
재앙,재앙
재정,재정
재직,재ː직
재질,재질
재해,재해
재현,재ː현
재혼,재ː혼
재활,재ː활
쟁점,쟁쩜
저가,저ː까
저승,저승
저항,저ː항
전구,전ː구
전기,전기
전담,전담
전동,전ː동
전등,전ː등
전반,전반
전액,저낵
전업,저넙
전직,전직
전투,전ː투
전학,전ː학
전환,전ː환
절감,절감
절벽,절벽
절전,절쩐
점포,점ː포
정감,정감
정권,정꿘
정복,정복
정비,정ː비
정의,정ː의
정전,정전
정화,정화
제값,제갑
제과,제ː과
제대,제대
제비,제ː비
제약,제ː약
제의,제의
제정,제ː정
제조,제ː조
제패,제ː패 
조각,조각
조개,조개
조국,조국
조립,조립
조사,조ː사
조세,조세
조연,조ː연
조의,조ː의
조직,조직
조퇴,조ː퇴
좌뇌,좌ː뇌
좌절,좌ː절
좌파,좌ː파
죄인,죄ː인
주가,주까
주거,주ː거
주권,주꿘
주례,주례
주류,주류
주범,주범
주식,주식
주어,주어
주역,주역
주연,주연
주의,주의
주전,주전
주체,주체
주최,주최
중개,중개
중계,중계
중대,중ː대
중병,중ː병
중점,중ː쩜
중증,중ː쯩
증권,증꿘
증대,증대
증발,증발
증오,증오
지대,지대
지리,지리
지사,지사
지상,지상
지수,지수
지인,지인
지점,지점
지형,지형
지휘,지휘
직위,지귀
진급,진ː급
진땀,진땀
진보,진ː보
진정,진정
진정,진ː정
진지,진ː지
진화,진ː화
진흙,진흑
진흥,진ː흥
질환,질환
집회,지푀
징역,징역
차단,차ː단
차례,차례
차장,차장
착용,차굥
찬반,찬ː반
참견,참견
참배,참배
참새,참새
참치,참치
창업,창ː업
창출,창ː출
채식,채ː식
채용,채ː용
처가,처가
처마,처마
척추,척추
철강,철강
철학,철학
첨가,첨가
첨단,첨단
청구,청구
청자,청자
청중,청중
체감,체감
체격,체격
체내,체내
체류,체류
체벌,체벌
체육,체육
체제,체제
체질,체질
체포,체포
체형,체형
초등,초등
초래,초래
초상,초상
초원,초원
총각,총ː각
총액,총ː액
총장,총ː장
추구,추구
추락,추락
추모,추모
추세,추세
추수,추수
추적,추적
출간,출간
출금,출금
출제,출쩨
출혈,출혈
충동,충동
충전,충전
충족,충족
충치,충치
충혈,충혈
취득,취ː득
취사,취ː사
취임,취ː임
취학,취ː학
치매,치매
치아,치아
치안,치안
치욕,치욕
치유,치유
치통,치통
친교,친교
친분,친분
친족,친족
친지,친지
친화,친화
침수,침수
침입,치ː밉
침착,침착
침체,침체
침해,침ː해
콧등,코뜽
쾌감,쾌감
쾌락,쾌락
큰절,큰절
타협,타ː협
탄압,타ː납
탈춤,탈ː춤
탈퇴,탈퇴
탐구,탐구
탐색,탐색
탐험,탐험
태교,태교
태아,태아
터득,터ː득
터전,터전
털옷,터롣
토막,토막
토양,토양
토지,토지
통보,통보
통제,통ː제
통치,통ː치
통풍,통풍
통학,통학
퇴임,퇴ː임
퇴장,퇴ː장
투고,투고
투기,투기
투병,투병
투입,투입
투쟁,투쟁
투정,투정
특허,트커
티끌,티끌
파격,파ː격
파견,파견
파업,파ː업
판결,판결
판정,판정
판촉,판촉
패배,패ː배
패자,패ː자
팽창,팽창
편입,펴닙
편집,편집
평야,평야
평지,평지
폐수,폐ː수
폐장,폐ː장
폐해,폐ː해
폐허,폐ː허
포기,포기
포부,포ː부
포용,포ː용
폭염,포겸
폭행,포캥
표기,표기
표류,표류
품종,품ː종
풍요,풍요
풍자,풍자
피고,피ː고
피리,피리
피살,피ː살
피차,피ː차
필자,필짜
핏줄,피쭐
하객,하ː객
하교,하ː교
하락,하ː락
하류,하ː류
하위,하ː위
하인,하ː인
하천,하천
하체,하ː체
하향,하ː향
학업,하겁
학위,하귀
한과,한ː과
한도,한ː도
한약,하ː냑
한우,하ː누
한정,한ː정
한탄,한ː탄
한탕,한탕
한파,한파
함성,함ː성
함축,함축
해고,해ː고
해군,해ː군
해독,해ː독
해발,해ː발
해상,해ː상
해양,해ː양
해일,해ː일
해저,해ː저
해제,해ː제
해직,해ː직
허구,허구
허기,허기
허무,허무
허위,허위
허탈,허탈
허파,허파
헌법,헌ː뻡
헌혈,헌ː혈
헐값,헐깝
험담,험ː담
혁신,혁씬
현직,현ː직
현황,현ː황
혈관,혈관
혈압,혀랍
혈액,혀랙
혐오,혀모
혐의,혀믜
협약,혀뱍
협의,혀븨
형부,형부
호소,호소
호우,호우
호전,호ː전
호칭,호칭
호평,호ː평
호화,호화
호황,호ː황
화두,화두
화법,화뻡
화산,화ː산
화상,화ː상
화자,화자
화장,화ː장
화초,화초
화학,화ː학
환갑,환ː갑
환호,환호
환희,환히
활자,활짜
황제,황제
황혼,황혼
회갑,회갑
회계,회ː계
횡단,횡단
효녀,효ː녀
효력,효ː력
효율,효ː율
후각,후각
후기,후ː기
후대,후ː대
후속,후ː속
후손,후ː손
후임,후ː임
후퇴,후ː퇴
훼손,훼ː손
휴전,휴전
휴직,휴직
흡연,흐변
흥행,흥행
가운데,가운데
간호사,간호사
갈비탕,갈비탕
감기약,감ː기약
강아지,강아지
공휴일,공휴일
관광객,관광객
관광지,관광지
교과서,교ː과서
교통비,교통비
귀걸이,귀거리
그저께,그저께
기차역,기차역
기차표,기차표
남동생,남동생
냉장고,냉ː장고
대학원,대ː하권
도서관,도서관
마지막,마지막
매표소,매ː표소
목요일,모교일
물고기,물꼬기
미술관,미ː술관
밀가루,밀까루
바닷가,바다까
반바지,반ː바지
발가락,발까락
방송국,방ː송국
백화점,배콰점
변호사,변ː호사
볶음밥,보끔밥
불고기,불고기
비빔밥,비빔빱
비행기,비행기
사거리,사ː거리
사계절,사ː계절
사무실,사ː무실
삼거리,삼거리
삼계탕,삼계탕
선풍기,선풍기
설거지,설거지
세탁기,세ː탁끼
세탁소,세ː탁쏘
소고기,소고기
소화제,소화제
손바닥,손빠닥
수영복,수영복
수영장,수영장
시간표,시간표
신분증,신분쯩
신호등,신ː호등
십이월,시비월
쓰레기,쓰레기
아버지,아버지
어젯밤,어제빰
엉덩이,엉ː덩이
여동생,여동생
여행지,여행지
영화관,영화관
외국어,외ː구거
외국인,외ː구긴
요리사,요리사
우체국,우체국
운동복,운ː동복
운동장,운ː동장
운동화,운ː동화
유치원,유치원
이삿짐,이사찜
이야기,이야기
일주일,일쭈일
자동차,자동차
자전거,자전거
전화기,전ː화기
젓가락,저까락
정거장,정거장
제주도,제ː주도
종업원,종어붠
주차장,주ː차장
중학교,중학꾜
지우개,지우개
지하도,지하도
지하철,지하철
청바지,청바지
초대장,초대짱
출퇴근,출퇴근
태권도,태꿘도
편의점,펴늬점
항공권,항ː공꿘
화장품,화장품
회사원,회ː사원
휴게실,휴게실
휴지통,휴지통
가로등,가로등
가치관,가치관
감동적,감ː동적
강의실,강ː의실
개인적,개ː인적
거래처,거ː래처
건전지,건전지
게시판,게ː시판
겨울철,겨울철
경기장,경ː기장
경비실,경ː비실
계산기,계ː산기
계산대,계ː산대
고구마,고ː구마
고등어,고등어
공과금,공과금
과소비,과ː소비
관계자,관계자
교육비,교ː육삐
교육자,교ː육짜
교통편,교통편
구세대,구ː세대
긍정적,긍ː정적
기지개,기ː지개
길거리,길꺼리
내성적,내ː성적
노선도,노ː선도
녹음기,노금기
눈동자,눈똥자
담당자,담당자
대기업,대ː기업
대도시,대ː도시 
도시락,도시락
도자기,도자기
독일어,도기러
동창회,동창회
동호회,동호회
동화책,동ː화책
땅바닥,땅빠닥
말다툼,말ː다툼
말하기,말ː하기
맞은편,마즌편
면허증,면ː허쯩
무더위,무더위
무지개,무지개
무책임,무채김
문구점,문구점
문방구,문방구
문제점,문ː제쩜
문화재,문화재
문화적,문화적
바가지,바가지
바구니,바구니
반대쪽,반ː대쪽
반창고,반창고
발표회,발표회
방바닥,방빠닥
배우자,배ː우자
번호표,번호표
보고서,보ː고서
보리차,보리차
보행자,보ː행자
볼거리,볼꺼리
부작용,부ː자굥
부정적,부ː정적
부정확,부정확
부주의,부주의
불친절,불친절
비상구,비ː상구
비판적,비ː판적
비행장,비행장
빈자리,빈ː자리
사교적,사교적
사무소,사ː무소
사무직,사ː무직
사생활,사생활
사업가,사ː업까
사업자,사ː업짜
사용법,사ː용뻡
사용자,사ː용자
사진첩,사진첩
사회자,사회자
사회적,사회적
상대방,상대방
상대편,상대편
생김새,생김새
생활비,생활비
선진국,선진국
성적표,성적표
소나기,소나기
소방관,소방관
소방차,소방차
소비자,소비자
소설가,소ː설가
소설책,소ː설책
소아과,소ː아꽈
손가방,손까방
손잡이,손자비
송별회,송ː별회
송아지,송아지
쇠고기,쇠ː고기
수도권,수도꿘
수동적,수동적
수리비,수리비
수수료,수수료
수입품,수입품
순간적,순간적
술자리,술짜리
숨소리,숨ː쏘리
승차권,승차꿘
시금치,시금치
시부모,시부모
시청자,시ː청자
시험지,시험지
신제품,신제품
신체적,신체적
싸구려,싸구려
아래층,아래층
아랫집,아래찝
아쉬움,아쉬움
아침밥,아침빱
안전띠,안전띠
약혼자,야콘자
양배추,양배추
어르신,어ː르신
엉터리,엉터리
여행가,여행가
연구소,연ː구소
연구실,연ː구실
연구자,연ː구자
연기자,연ː기자
연두색,연ː두색
연주회,연ː주회
연체료,연체료
예술가,예ː술가
오징어,오징어
외갓집,외ː가찝
외교관,외ː교관
외삼촌,외ː삼촌
외아들,외아들
외출복,외ː출복
요리법,요리뻡
우체통,우체통
우편함,우편함
우회전,우ː회전
유리창,유리창
음악회,으마쾨
응급실,응ː급씰
이국적,이ː국쩍
이기적,이ː기적
이용자,이ː용자
이웃집,이욷찝
인간적,인간적
일교차,일교차
일본어,일보너
일자리,일ː짜리
일정표,일쩡표
일회용,일회용
자가용,자가용
자부심,자부심
자신감,자신감
자주색,자ː주색
작은집,자근집
잔디밭,잔디받
장단점,장단쩜
전통적,전통적
정육점,정육쩜
정치인,정치인
제과점,제ː과점
졸업식,조럽씩
좌회전,좌ː회전
주유소,주ː유소
주인공,주인공
주전자,주전자
주차권,주ː차꿘
주차료,주ː차료
줄거리,줄거리
중고차,중고차
중국어,중구거
중형차,중형차
즐거움,즐거움
지하실,지하실
진통제,진ː통제
진행자,진ː행자
책임감,채김감
책임자,채김자
처방전,처ː방전
천주교,천주교
초가을,초가을
초겨울,초겨울
초보자,초보자
초승달,초승딸
초저녁,초저녁
초청장,초청짱
최고급,최ː고급
출근길,출근낄
충격적,충격쩍
치료법,치료뻡
친아들,치나들
친오빠,치노빠
큰아들,크나들
팔꿈치,팔꿈치
포도주,포도주
포장지,포장지
표준어,표주너
표지판,표지판
피해자,피ː해자
학용품,하굥품
한겨울,한겨울
한국어,한ː구거
한국인,한ː구긴
해돋이,해도지
허리띠,허리띠
호기심,호ː기심
화장대,화장대
활동적,활똥적
회의실,회ː의실
휴가철,휴가철
휴양지,휴양지
가로수,가로수
가르침,가르침
가속화,가소콰
가요계,가요계
가해자,가해자
간담회,간ː담회
감상적,감ː상적
감성적,감ː성적
감수성,감ː수썽
감정적,감ː정적
값어치,가버치
강대국,강대국
개방적,개방적
개별적,개ː별쩍
개신교,개ː신교
거리낌,거리낌
거부감,거ː부감
거주자,거주자
경공업,경공업
경제권,경제꿘
경제성,경제썽
경제학,경제학
경조사,경ː조사
경찰청,경ː찰청
경험담,경험담
고가품,고까품
고교생,고교생
고구려,고구려
고기압,고기압
고무신,고무신
고소득,고소득
고지서,고ː지서
고혈압,고혀랍
골동품,골똥품
골짜기,골짜기
곰팡이,곰ː팡이
공간적,공간적
공감대,공ː감대
공개적,공개적
공교육,공교육
공포감,공ː포감
교도소,교ː도소
교무실,교ː무실
교육적,교ː육쩍
구경꾼,구ː경꾼
구두쇠,구두쇠
구매자,구매자
궁금증,궁금쯩
권위적,궈뉘적
글쓴이,글쓰니
기관지,기관지
기대감,기대감
기부금,기부금
기상청,기상청
기술적,기술쩍
기와집,기와집
기원전,기원전
기원후,기원후
기저귀,기저귀
기호품,기호품
긴장감,긴장감
깨소금,깨소금
나그네,나그네
나들이,나드리
나침반,나침반
난치병,난치뼝
널뛰기,널ː뛰기
노골적,노골쩍
노처녀,노ː처녀
노총각,노ː총각
높임법,노핌뻡
뇌졸중,뇌졸쭝
눈꺼풀,눈꺼풀
능동적,능동적
다양화,다양화
대가족,대ː가족
대리점,대ː리점
대조적,대ː조적
대중적,대ː중적
대중화,대ː중화
도깨비,도깨비
도시화,도시화
동호인,동호인
뒤풀이,뒤ː푸리
말솜씨,말ː쏨씨
면도기,면ː도기
모국어,모ː구거
모범생,모범생
무공해,무공해
무기력,무기력
미술가,미ː술가
민주적,민주적
민주화,민주화
반도체,반ː도체
반환점,반환쩜
발돋움,발도둠
발표자,발표자
방청객,방청객
배타적,배타적
백혈병,배켤뼝
범죄자,범ː죄자
변두리,변두리
보상금,보ː상금
보수적,보ː수적
보육원,보ː유권
보조금,보ː조금
보증금,보증금
보편적,보ː편적
보편화,보ː편화
보호자,보ː호자
본질적,본질쩍
부담감,부ː담감
부도덕,부도덕
부유층,부ː유층
불경기,불경기
불치병,불치뼝
불효자,불효자
비관적,비ː관적
비상금,비ː상금
비속어,비ː소거
비웃음,비ː우슴
비유적,비ː유적
빗줄기,비쭐기
사고력,사고력
사교육,사교육
사무적,사ː무적 
사상가,사ː상가
사은품,사ː은품
산업화,사ː너퐈
상갓집,상가찝
상거래,상거래
상여금,상여금
상위권,상ː위꿘
상품권,상품꿘
생동감,생동감
생태계,생태계
생필품,생필품
생활고,생활고
생활권,생활꿘
생활화,생활화
서술어,서ː수러
선교사,선교사
선동적,선동적
선정적,선정적
선호도,선ː호도
선후배,선후배
섬유질,서뮤질
성장기,성장기
성차별,성ː차별
성취도,성취도
세계관,세ː계관
소개서,소개서
소외감,소외감
소유자,소ː유자
소화기,소화기
수사관,수사관
수산업,수사넙
수신자,수신자
수줍음,수주븜
수증기,수증기
수험생,수험생
수화기,수화기
승강기,승강기
시대적,시대적
시사회,시ː사회
시청각,시ː청각
식은땀,시근땀
신경질,신경질
신경통,신경통
신기록,신기록
신도시,신도시
실질적,실찔쩍
실천적,실천적
쌍꺼풀,쌍꺼풀
씀씀이,씀쓰미
아열대,아ː열때
악영향,아경향
안정감,안정감
안정적,안정적
암기력,암ː기력
애완견,애ː완견
애창곡,애ː창곡
야유회,야ː유회
여성적,여성적
연장자,연장자
연주자,연ː주자
연평균,연평균
열대야,열때야
열등감,열뜽감
영화제,영화제
예술품,예ː술품
외동딸,외동딸
외향적,외ː향적
외형적,외ː형적
용의자,용의자
우발적,우ː발쩍
우울증,우울쯩
우호적,우ː호적
울타리,울타리
원자력,원자력
위생적,위생적
위화감,위화감
유권자,유ː꿘자
유대감,유대감
유동적,유동적
유전병,유전뼝
유전자,유전자
유창성,유창썽
유행가,유행가
유흥비,유흥비
의생활,의생활
의성어,의성어
의태어,의태어
이기심,이ː기심
이상형,이ː상형
이성적,이ː성적
인건비,인껀비
인도적,인도적
인지도,인지도
일간지,일간지
일대일,일때일
임대료,임ː대료
임산부,임ː산부
임신부,임ː신부
자연계,자연계
자외선,자ː외선
잠재력,잠재력
장거리,장거리
재개발,재ː개발
재정적,재정적
재충전,재ː충전
저고리,저고리
저기압,저ː기압
저소득,저ː소득
저혈압,저ː혀랍
전반부,전반부
전셋값,전세깝
전쟁터,전ː쟁터
전환기,전ː환기
정규직,정ː규직
정상화,정ː상화
정체기,정체기
정체성,정ː체썽
정치가,정치가
제도적,제ː도적
제조업,제ː조업
조리법,조리뻡
조리사,조리사
조부모,조부모
조선업,조ː서넙
조의금,조ː의금
조종사,조종사
좌담회,좌ː담회
주거비,주ː거비
주거지,주ː거지
주방장,주방장
주생활,주ː생활
주재료,주재료
중개인,중개인
중공업,중ː공업
중요시,중ː요시
중점적,중ː쩜적
증가세,증가세
증후군,증후군
지구력,지구력
지구촌,지구촌
지리적,지리적
지원금,지원금
지원자,지원자
지지율,지지율
진보적,진ː보적
진취적,진ː취적
짜임새,짜임새
찜질방,찜질방
차별화,차별화
참가자,참가자
창의성,창ː의썽
창의적,창ː의적
창작품,창ː작품
창조적,창ː조적
천부적,천부적
청취자,청취자
초가집,초가집
초고속,초고속
초월적,초월쩍
초인종,초인종
초창기,초창기
최신형,최ː신형
최우수,최ː우수
최첨단,최ː첨단
친근감,친근감
친화력,친화력
친환경,친환경
탈의실,타릐실
투자자,투자자
편두통,편두통
편파적,편파적
평화적,평화적
표기법,표기뻡
푸대접,푸대접
피고인,피ː고인
피부과,피부꽈
하반기,하ː반기
하소연,하소연
한반도,한ː반도
한자어,한ː짜어
해수욕,해ː수욕
해열제,해ː열쩨
행정부,행정부
현기증,현ː기쯩
혈액형,혀래켱
환절기,환ː절기
황금기,황금기
회갑연,회가변
회원국,회ː원국
회의적,회의적
후반부,후ː반부
후보자,후보자
후유증,후ː유쯩
